mr,2554
bradlaugh,1940
book,1694
would,1445
besant,1282
mrs,1194
said,1136
work,1068
justic,989
court,975
publish,954
case,943
juri,917
lord,897
defend,884
public,859
chief,792
obscen,782
prosecut,766
question,595
indict,586
pamphlet,577
could,570
law,518
one,511
verdict,511
trial,483
might,477
popul,444
upon,433
moral,429
check,415
queen,384
charg,374
solicitorgener,353
must,343
put,331
bench,325
judgment,324
call,320
intent,314
time,313
proceed,309
state,306
object,305
say,301
medic,294
present,292
circul,287
found,286
person,282
made,271
matter,271
year,271
whether,271
philosophi,269
point,268
guilti,267
fruit,267
address,260
good,253
show,250
defenc,248
peopl,246
general,245
two,243
subject,242
ask,241
hand,241
dr,238
appear,235
read,235
evid,235
word,234
refer,232
corrupt,232
man,229
right,228
use,228
charl,225
charact,224
ground,217
great,212
taken,210
given,205
move,201
day,197
calcul,195
sentenc,195
copi,194
may,192
new,192
intend,190
poor,187
opinion,187
place,186
consid,185
straight,185
london,183
men,180
children,180
natur,179
therefor,178
open,178
necessari,177
marriag,176
allow,176
discuss,175
set,175
sold,174
knowlton,174
take,173
find,173
young,173
give,172
make,171
part,170
knowledg,168
also,167
ought,166
recognis,165
thought,164
much,164
lordship,164
crimin,163
author,162
special,162
come,161
number,160
think,160
larg,159
solicitor,159
effect,159
go,159
wit,158
submit,157
evil,157
yesterday,157
prevent,157
mani,156
deprav,156
contend,154
brought,154
fact,153
done,152
decid,151
result,151
continu,149
physiolog,149
indec,149
sale,148
even,148
everi,147
anni,147
codefend,146
whole,144
alderman,143
immor,143
view,141
believ,141
women,141
sell,141
arrest,140
sinc,140
applic,139
entitl,139
divis,139
know,138
caus,138
countri,137
without,137
quash,134
increas,134
argu,134
scientif,133
polic,133
thursday,133
adjourn,133
enter,133
cours,133
offenc,131
never,131
advoc,130
contain,128
went,128
argument,128
howev,128
high,128
societi,128
admit,127
mean,126
guildhal,125
rule,125
motiv,123
life,123
learn,123
mind,123
tri,122
act,122
price,121
hear,119
certain,119
appli,118
govern,117
purpos,117
citi,117
record,117
figgin,116
alleg,116
direct,116
first,115
thing,115
convict,115
offic,114
content,114
written,113
resum,113
sever,113
pass,113
order,111
wish,111
ladi,111
anoth,110
mellor,109
receiv,109
miseri,108
import,108
counsel,106
diseas,105
conduct,105
detail,105
attent,104
possibl,104
last,104
duti,104
noth,104
form,103
consider,103
way,103
languag,103
well,102
deal,102
commit,100
long,99
look,99
express,99
issu,99
prove,98
england,98
regard,98
sir,98
amongst,97
like,97
desir,96
other,96
famili,94
error,94
girl,93
inform,93
mead,93
carpent,93
statement,93
remark,92
suggest,92
conclud,92
agre,91
sum,91
text,91
motion,90
class,90
human,89
appeal,89
grant,89
follow,89
fair,89
mere,87
school,87
remov,87
week,87
formal,86
consequ,86
anyth,86
propos,86
held,86
interest,85
repli,85
church,85
doubt,85
power,84
world,84
urg,84
obtain,84
morn,83
common,82
bad,82
unread,82
reserv,82
bail,81
hous,81
determin,81
within,81
accord,80
live,80
marri,80
nation,79
observ,79
came,79
ago,79
declar,78
liberti,78
libel,78
produc,77
care,77
return,77
support,76
central,76
littl,76
shall,76
answer,76
far,75
name,75
scienc,75
magistr,75
old,75
street,75
member,75
respect,75
late,75
exoner,74
march,74
meet,74
leav,73
bring,73
mother,73
judg,73
commenc,72
essay,72
crowd,72
see,71
john,71
deni,71
report,70
wrong,70
woman,70
exist,70
rais,70
6d,70
overpopul,69
prison,69
sent,69
writ,69
becom,69
certiorari,69
took,69
passag,68
plead,68
next,68
entir,68
trail,68
among,68
free,68
vice,67
press,67
us,67
yet,67
proper,67
practic,67
let,67
messr,66
six,65
hall,65
amount,65
compar,65
fine,65
feel,65
heard,65
whatev,65
quot,65
behalf,64
dealt,64
malthusian,64
conclus,63
200,63
similar,63
watt,63
legal,63
left,63
truth,63
month,63
malthus,62
prepar,62
imprison,62
better,62
examin,62
letter,62
monday,62
contrari,61
passion,61
realli,61
cannot,61
crime,61
24th,60
thousand,60
whose,60
suppos,59
instead,59
known,59
rose,59
tuesday,59
tendenc,58
detect,58
english,58
thoma,58
acquit,57
treat,57
sit,57
gave,57
decis,57
poverti,57
attend,57
oclock,56
notic,56
dakin,56
hour,56
speech,56
stop,55
want,55
polit,55
priest,54
boy,54
professor,54
assum,54
youth,54
condemn,54
extract,54
saturday,53
avoid,53
affidavit,53
reli,53
today,53
enabl,53
confess,53
kind,53
grave,53
particular,53
suppress,53
technic,52
involv,52
stay,52
age,52
readi,52
real,52
food,52
seem,51
sens,51
greater,51
hope,51
reason,51
dougla,51
principl,51
overcrowd,51
close,51
quit,50
mill,50
forward,50
term,50
still,50
martin,50
stand,50
deliv,50
send,50
turn,50
chapter,50
respons,50
excit,50
minut,50
pay,49
ignor,49
histori,49
either,49
privat,49
defianc,48
circumst,48
remain,48
complain,48
inde,48
institut,48
although,47
drysdal,47
die,47
accept,47
discharg,47
claim,47
post,47
posit,47
fulli,47
reform,47
fawcett,47
aris,47
get,46
